RTT,Protocol,Mode,Throughput
1ms,TcpNewReno,Adaptive,1.42599
1ms,TcpWestwood,Base,1.42402
1ms,TcpWestwood,Adaptive,1.42402
5ms,TcpNewReno,Adaptive,1.40722
5ms,TcpWestwood,Base,1.37305
5ms,TcpWestwood,Adaptive,1.37305
10ms,TcpNewReno,Adaptive,1.35956
10ms,TcpWestwood,Base,1.33141
10ms,TcpWestwood,Adaptive,1.31235
15ms,TcpNewReno,Adaptive,1.26694
15ms,TcpWestwood,Base,1.26978
15ms,TcpWestwood,Adaptive,1.27407
20ms,TcpNewReno,Adaptive,1.18724
20ms,TcpWestwood,Base,1.27279
20ms,TcpWestwood,Adaptive,1.27285
30ms,TcpNewReno,Adaptive,1.01296
30ms,TcpWestwood,Base,1.21134
30ms,TcpWestwood,Adaptive,1.19228
50ms,TcpNewReno,Adaptive,0.7229
50ms,TcpWestwood,Base,1.15035
50ms,TcpWestwood,Adaptive,1.09324
100ms,TcpNewReno,Adaptive,0.400517
100ms,TcpWestwood,Base,0.945834
100ms,TcpWestwood,Adaptive,0.973404
200ms,TcpNewReno,Adaptive,0.208222
200ms,TcpWestwood,Base,0.672509
200ms,TcpWestwood,Adaptive,0.722842
250ms,TcpNewReno,Adaptive,0.173528
250ms,TcpWestwood,Base,0.580358
250ms,TcpWestwood,Adaptive,0.4823
300ms,TcpNewReno,Adaptive,0.150071
300ms,TcpWestwood,Base,0.459016
300ms,TcpWestwood,Adaptive,0.519948
350ms,TcpNewReno,Adaptive,0.12893
350ms,TcpWestwood,Base,0.423569
350ms,TcpWestwood,Adaptive,0.523133
